# Pedigree data for the Lg/Sm mouse advanced intercross line. Each row 
# refers to an individual mouse.
#
# The columns of the table are:
#
#  (1) id (a unique number assigned to each individual)
#  (2) filial generation
#  (3) sex (M = male, F = female)
#  (4) id of father
#  (5) id of mother
#
# Individual identifiers that are given special attention are:
#
#  -9999  genetically identical inbred Sm/j males
#  -9998  genetically identical inbred Lg/j females
#  -9997  genetically identical F1 male offspring from Sm/j x Lg/j cross
#  -9996  genetically identical F1 female offspring from Sm/j x Lg/j cross
#      0  unknown
#
id,generation,sex,sire,dam
-9999,F0,M,0,0
-9998,F0,F,0,0
-9997,F1,M,-9999,-9998
-9996,F1,F,-9999,-9998
635A,F2,F,-9997,-9996
636A,F2,M,-9997,-9996
637A,F2,F,-9997,-9996
638A,F2,M,-9997,-9996
639A,F2,F,-9997,-9996
640A,F2,F,-9997,-9996
641A,F2,M,-9997,-9996
642A,F2,F,-9997,-9996
643A,F2,M,-9997,-9996
646A,F2,F,-9997,-9996
647A,F2,M,-9997,-9996
648A,F2,M,-9997,-9996
649A,F2,F,-9997,-9996
650A,F2,F,-9997,-9996
651A,F2,M,-9997,-9996
652A,F2,M,-9997,-9996
653A,F2,F,-9997,-9996
654A,F2,F,-9997,-9996
655A,F2,M,-9997,-9996
656A,F2,F,-9997,-9996
657A,F2,M,-9997,-9996
658A,F2,M,-9997,-9996
659A,F2,F,-9997,-9996
660A,F2,M,-9997,-9996
661A,F2,M,-9997,-9996
662A,F2,M,-9997,-9996
663A,F2,M,-9997,-9996
664A,F2,M,-9997,-9996
665A,F2,M,-9997,-9996
666A,F2,M,-9997,-9996
667A,F2,M,-9997,-9996
668A,F2,F,-9997,-9996
669A,F2,F,-9997,-9996
670A,F2,M,-9997,-9996
671A,F2,M,-9997,-9996
672A,F2,M,-9997,-9996
673A,F2,M,-9997,-9996
674A,F2,M,-9997,-9996
675A,F2,F,-9997,-9996
676A,F2,F,-9997,-9996
677A,F2,F,-9997,-9996
680A,F2,F,-9997,-9996
681A,F2,M,-9997,-9996
682A,F2,F,-9997,-9996
683A,F2,M,-9997,-9996
684A,F2,M,-9997,-9996
685A,F2,M,-9997,-9996
686A,F2,F,-9997,-9996
687A,F2,F,-9997,-9996
688A,F2,M,-9997,-9996
690A,F2,F,-9997,-9996
691A,F2,M,-9997,-9996
692A,F2,M,-9997,-9996
693A,F2,M,-9997,-9996
694A,F2,M,-9997,-9996
695A,F2,M,-9997,-9996
696A,F2,M,-9997,-9996
697A,F2,M,-9997,-9996
698A,F2,M,-9997,-9996
699A,F2,M,-9997,-9996
700A,F2,F,-9997,-9996
701A,F2,M,-9997,-9996
702A,F2,M,-9997,-9996
703A,F2,F,-9997,-9996
704A,F2,M,-9997,-9996
705A,F2,M,-9997,-9996
706A,F2,M,-9997,-9996
707A,F2,F,-9997,-9996
708A,F2,F,-9997,-9996
709A,F2,M,-9997,-9996
710A,F2,F,-9997,-9996
711A,F2,F,-9997,-9996
712A,F2,F,-9997,-9996
715A,F2,M,-9997,-9996
717A,F2,F,-9997,-9996
718A,F2,F,-9997,-9996
720A,F2,F,-9997,-9996
722A,F2,F,-9997,-9996
723A,F2,M,-9997,-9996
724A,F2,M,-9997,-9996
725A,F2,M,-9997,-9996
726A,F2,M,-9997,-9996
727A,F2,F,-9997,-9996
728A,F2,M,-9997,-9996
729A,F2,F,-9997,-9996
730A,F2,F,-9997,-9996
731A,F2,M,-9997,-9996
732A,F2,M,-9997,-9996
733A,F2,F,-9997,-9996
734A,F2,F,-9997,-9996
735A,F2,M,-9997,-9996
736A,F2,F,-9997,-9996
737A,F2,F,-9997,-9996
738A,F2,M,-9997,-9996
739A,F2,M,-9997,-9996
740A,F2,F,-9997,-9996
741A,F2,F,-9997,-9996
742A,F2,M,-9997,-9996
744A,F2,F,-9997,-9996
746A,F2,M,-9997,-9996
747A,F2,M,-9997,-9996
749A,F2,F,-9997,-9996
750A,F2,M,-9997,-9996
