# Phenotype data for Lg/Sm mouse advanced intercross line. This table
# includes phenotype data from 3-day fear conditioning study for 490
# mice (249 males and 241 females) from the F2 cross, and 687 mice
# (353 males and 334 females) from the F34 cross. See phenome.jax.org
# for details on the LG/J and SM/J mouse strains.
#
# The table is stored in comma-delimited ("csv") format. Each row
# corresponds to an individual mouse. Missing entries are marked as
# "NA".
# 
# The columns of the table are:
#
#  (1) id (a unique number assigned to each individual)
#  (2) filial generation (either F2 or F34)
#  (3) sex (M = male, F = female)
#  (4) coat color (W = white, B = black, A = agouti)
#  (5) age (in days)
#  (6) litter id
#  (7) litter size  
#  (8) distance traveled (in cm) along periphery of box
#  (9) distance traveled (in cm) in center of box
# (10) proportion of time spent in center of box
# (11) fecal boli 1 
# (12) fecal boli 2
# (13) average proportion of time freezing on Day 1 before mouse is
#      exposed to tones and shocks ("pre-training freezing")
# (14) average proportion of time freezing on Day 2 in an environment 
#      identical to Day 1 ("freezing to context")
# (15) average proportion of time freezing on Day 3 in an altered
#      environment, after the tone is presented at the same time as 
#      Day 1 ("freezing to cue")
# 
# Columns 8-10 are measurements obtained from "Open Field" testing,
# and columns 13-15 are measurements obtained from "Conditioned Fear"
# testing. Columns 16-18 are other phenotypes calculated from the
# "freezing" measurements.
#
id,generation,litterid,littersize,sex,coatcolor,age,distperiphery,distcenter,propcenter,FB1,FB2,pretrainfreeze,freezetocontext,freezetocue,learn,extinct,ctxtlearn
635A,F2,1,11,F,B,69,2056,276,0.065,2,5,0.0178,0.1872,0.4894,58.94,-23.54,16.94
636A,F2,1,11,M,B,69,2337,250,0.0767,2,4,0.0605,0.0713,0.01785,3.57,-3.57,1.08
637A,F2,1,11,F,B,69,2682,492,0.1085,2,5,0.0231,0.0357,0.16955,32.14,-30.37,1.26
638A,F2,1,11,M,B,69,4016,438,0.0715,1,2,0.0427,0.4688,0.55545,50.91,5.73,42.61
639A,F2,1,11,F,B,69,2361,116,0.0387,2,2,0.0534,0.0321,0.18665,12.55,1.61,-2.13
640A,F2,1,11,F,B,69,2202,176,0.0605,2,4,0.0658,0.3565,0.63525,53.6,14.55,29.07
641A,F2,1,11,M,B,69,3070,552,0.0913,1,4,0.0498,0.0945,0.18225,17.87,-2.83,4.47
642A,F2,1,11,F,B,69,3956,13,0.0013,4,3,0.0249,0.1783,0.1023,0.99,-2.76,15.34
643A,F2,1,11,M,B,69,1532,33,0.0247,3,4,0.0338,0.2424,0.45745,26,14.71,20.86
646A,F2,1,12,F,B,68,1873,180,0.0727,2,4,0.0178,0.048,0.0222,1.79,0.86,3.02
647A,F2,1,12,M,B,68,2400,546,0.1297,0,2,0.0445,0.0374,0.0401,6.25,-4.48,-0.71
648A,F2,1,12,M,B,68,2981,129,0.0357,0,1,0.0302,0.0036,0.0847,14.29,-11.64,-2.66
649A,F2,1,12,F,B,68,2338,33,0.0138,4,5,0.0142,0.1085,0.4093,41.07,-19.92,9.43
650A,F2,1,10,F,B,67,1958,460,0.1057,2,5,0.0089,0.048,0.15155,25,-19.69,3.91
651A,F2,1,10,M,B,67,2067,568,0.13,2,7,0.0267,0.0179,0.0177,-14.16,3.54,-0.88
652A,F2,1,10,M,B,67,1838,11,0.0043,0,0,0.0231,0.0142,0.32565,50.97,-54.51,-0.89
653A,F2,1,10,F,B,67,2766,153,0.0435,3,5,0.0231,0.2598,0.263,43.75,-34.9,23.67
654A,F2,1,10,F,B,67,2698,117,0.0503,1,2,0.0089,0.1192,0.7597,64.2,14.44,11.03
655A,F2,1,10,M,W,67,1253,162,0.0562,2,1,0.0231,0.1601,0.5685,48.21,17.28,13.7
656A,F2,1,10,F,W,67,4693,103,0.0265,0,4,0.0125,0.0249,0.392,59.82,-41.24,1.24
657A,F2,1,10,M,W,67,3280,716,0.1292,5,2,0.0214,0.0374,0.20075,37.5,-34.85,1.6
658A,F2,1,10,M,B,67,1755,271,0.0982,1,0,0.0302,0.1263,0.0929,0,18.58,9.61
659A,F2,1,10,F,W,67,2564,348,0.1142,1,2,0,0.0178,0.46305,65.18,-37.75,1.78
660A,F2,1,8,M,B,67,2686,84,0.0255,3,4,0.0427,0.225,0.2176,17.86,7.8,18.23
661A,F2,1,8,M,B,67,2342,452,0.081,5,3,0.0498,0.2811,0.11155,20.54,-18.77,23.13
662A,F2,1,8,M,B,67,2589,568,0.1318,5,2,0.0089,0.0231,0.4758,53.57,-11.98,1.42
663A,F2,1,8,M,B,67,2158,715,0.1177,5,3,0.0196,0.1464,0.04875,1.79,6.17,12.68
664A,F2,1,8,M,W,67,2335,89,0.048,2,5,0.0552,0.1228,0.3159,32.08,-15.4,6.76
665A,F2,1,8,M,W,67,2028,666,0.141,3,3,0.0125,0,0.17405,33.04,-31.27,-1.25
666A,F2,1,8,M,W,67,2090,306,0.0775,3,3,0.0819,0.2865,0.6628,73.15,-26.36,20.46
667A,F2,1,8,M,W,67,1647,692,0.1043,5,6,0.0214,0.2179,0.2229,35.73,-30.42,19.65
668A,F2,1,8,F,W,67,1545,572,0.1838,3,6,0.0053,0.0302,0.4141,58.04,-33.26,2.49
669A,F2,1,8,F,W,67,2334,371,0.1043,2,2,0.0089,0.1139,0.5035,79.46,-58.22,10.5
670A,F2,1,12,M,B,68,2181,104,0.0393,7,4,0.0125,0.2135,0.14225,13.41,-1.91,20.1
671A,F2,1,12,M,B,68,1821,343,0.1132,1,4,0.0178,0.073,0.05355,10.71,-10.71,5.52
672A,F2,1,12,M,B,68,3015,552,0.0627,0,2,0.0302,0.0801,0.41775,41.96,-0.37,4.99
