# These are the SNPs with the strongest support for being QTLs based
# on the initial analysis of the Lg/Sm mouse phenotypes. The columns
# of the table are: (1) phenotype being analyzed; (2) chromosome where
# QTL is located; (3) LOD score of QTL; (4) refSNP identifier of SNP
# with greatest support for being a QTL for the phenotype.
phenotype,chr,lod,refSNP
pretrainfreeze,4,4.83,rs27528211
freezetocontext,2,5.86,rs33188452
freezetocontext,3,5.99,rs31289463
freezetocontext,17,6.39,rs33425954
freezetocontext,17,6.74,rs29506726
freezetocue,1,4.57,rs31862254
freezetocue,2,5.75,rs27453770
freezetocue,3,4.57,rs29599008
freezetocue,4,4.76,rs27538669
freezetocue,8,5.14,rs3710389
freezetocue,10,4.78,rs6247407
freezetocue,17,5.69,rs33322494
freezetocue,17,8.49,rs33357930
freezetocue,17,5.77,rs29505251
distperiphery,2,6.2,rs27100797
distperiphery,4,6.75,rs32242095
distperiphery,11,6.19,rs3668059
distperiphery,11,6.54,rs29391262
distperiphery,14,4.51,rs6289260
distperiphery,17,5.01,rs29501002
distperiphery,17,4.4,rs6190943
distcenter,4,5.11,rs32263942
distcenter,10,4.44,rs6236374
distcenter,12,4.97,rs29205665
distcenter,12,5.12,rs6176279
distcenter,15,4.68,rs3666372
propcenter,4,5.06,rs6318014
propcenter,10,4.42,rs29369956
propcenter,12,5.12,rs6176279
propcenter,15,5.46,rs32422569
